date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:58:19	80935/80935	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/ui-typography.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/ui-typography.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:19	95153/95153	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/ui-tabs.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/ui-tabs.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:20	77631/77631	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/ui-tooltips.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/ui-tooltips.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:20	74784/74784	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/ui-embed-video.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/ui-embed-video.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:20	4637/4637	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/auth-sign-in.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/auth-sign-in.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:21	6129/6129	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/auth-sign-up.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/auth-sign-up.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:21	3335/3335	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/auth-recoverpw.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/auth-recoverpw.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:21	3111/3111	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/auth-confirm-mail.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/auth-confirm-mail.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:22	3402/3402	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/auth-lock-screen.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/auth-lock-screen.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:23	91506/91506	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/form-layout.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/form-layout.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:23	102793/102793	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/form-input-group.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/form-input-group.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:23	86577/86577	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/form-validation.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/form-validation.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:24	83077/83077	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/form-switch.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/form-switch.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:24	84771/84771	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/form-chechbox.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/form-chechbox.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:25	80727/80727	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/form-radio.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/form-radio.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:25	75046/75046	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/form-textarea.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/form-textarea.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:25	101161/101161	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/tables-basic.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/tables-basic.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:26	95220/95220	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/table-data.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/table-data.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:26	86924/86924	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/table-tree.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/table-tree.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:26	78493/78493	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/pricing.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/pricing.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:27	77873/77873	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/pricing-2.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/pricing-2.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:27	82577/82577	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/pages-invoice.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/pages-invoice.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:27	2176/2176	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/pages-error.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/pages-error.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:28	2200/2200	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/pages-error-500.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/pages-error-500.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
09:58:28	71411/71411	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Mar%202022%2005:27:29%20GMT	https://templates.iqonic.design/lite/posdash/html/backend/pages-blank-page.html	C:/P1/A5/templates.iqonic.design/lite/posdash/html/backend/pages-blank-page.html	(from https://templates.iqonic.design/lite/posdash/html/backend/page-list-product.html)
